k141_68388_2	SARG|gb|WP_104671188.1|ARO:3003948|efrA	37.9	549	580	575	1.03e-112	347
k141_68388_2	SARG|gb|AAK76137.1|ARO:3000024|patA	34.9	570	580	564	1.49e-97	307
k141_68388_2	SARG|gb|AAC74000.1|ARO:3003950|msbA	28.2	563	580	582	1.17e-62	215
k141_68388_2	SARG|gb|AAK76136.1|ARO:3000025|patB	27.5	530	580	588	5.62e-54	192
k141_68388_2	SARG|gi|739906046|ref|WP_037756452.1|	27.7	538	580	620	2.31e-52	188
k141_68388_2	SARG|gb|AYV52072.1|ARO:3002882|lmrD	26.1	487	580	664	5.40e-51	185
k141_68388_2	SARG|gi|516574297|ref|WP_017949361.1|	27.5	538	580	620	5.64e-51	184
k141_68388_2	SARG|gi|917229923|ref|WP_051836635.1|	28.4	559	580	620	1.47e-50	183
k141_68388_2	SARG|gi|648667297|ref|WP_026359044.1|	27.7	581	580	605	3.08e-50	182
k141_68388_2	NCBI|WP_289811733.1|1|1|tetB(60)|tetB(60)||2|TETRACYCLINE|TETRACYCLINE|tetracycline_efflux_ABC_transporter_Tet(60)_subunit_B|AMR|tetracycline	26.9	591	580	579	5.42e-50	181
k141_68388_3	SARG|gi|944009777|ref|WP_055601444.1|	34.1	575	586	628	2.80e-95	303
k141_68388_3	SARG|gi|944152509|ref|WP_055644808.1|	33.9	575	586	616	1.13e-94	301
k141_68388_3	SARG|gb|AYV52072.1|ARO:3002882|lmrD	36.4	516	586	664	2.62e-94	301
k141_68388_3	SARG|gb|AAK76136.1|ARO:3000025|patB	33.7	555	586	588	3.00e-94	299
k141_68388_3	SARG|gi|947982677|ref|WP_056642336.1|	33.6	575	586	626	8.43e-93	296
k141_68388_3	SARG|gi|639892676|ref|WP_024755698.1|	33.6	575	586	631	9.54e-93	296
k141_68388_3	SARG|gi|926376632|ref|WP_053705806.1|	33.3	579	586	620	2.14e-91	293
k141_68388_3	SARG|gi|1033217078|gb|OAR27197.1|	32.8	576	586	601	1.02e-90	290
k141_68388_3	SARG|gi|860594225|ref|WP_048475168.1|	33.4	574	586	620	1.16e-90	291
k141_68388_3	SARG|gi|497748188|ref|WP_010062372.1|	32.5	573	586	605	1.58e-90	290
k141_68388_5	NCBI|WP_139847607.1|1|1|erm(53)|erm(53)|target_modification|2|MACROLIDE|MACROLIDE|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(53)|AMR|macrolide	29.6	186	288	300	1.53e-19	85.5
k141_68388_5	SARG|P43433	31.0	187	288	311	3.32e-16	76.3
k141_68388_5	SARG|AAA22075	30.0	190	288	340	9.06e-15	72.4
k141_68388_5	SARG|L22689.1.gene1.p01	28.8	139	288	257	6.81e-10	57.4
k141_68388_5	SARG|gb|OPG86592.1|ARO:3004626|Erm(49)	24.7	190	288	304	2.37e-08	53.1
k141_110230_1	SARG|gi|498115003|ref|WP_010429159.1|	49.1	232	261	646	4.40e-68	221
k141_110230_1	SARG|gi|896106549|ref|WP_049136608.1|	49.1	232	261	646	1.21e-67	219
k141_110230_1	SARG|gi|654544841|ref|WP_028012549.1|	48.7	232	261	646	1.69e-67	219
k141_110230_1	SARG|gi|782756348|ref|WP_045630015.1|	49.1	232	261	646	2.36e-67	219
k141_110230_1	SARG|gi|829942568|ref|WP_047368199.1|	48.7	232	261	646	2.36e-67	219
k141_110230_1	SARG|gi|1022698495|ref|WP_063449190.1|	49.1	232	261	646	3.30e-67	218
k141_110230_1	SARG|gi|754493745|ref|WP_041910640.1|	48.7	232	261	646	3.30e-67	218
k141_110230_1	SARG|gi|895898290|ref|WP_048999361.1|	48.7	232	261	646	4.62e-67	218
k141_110230_1	SARG|gi|1028112073|ref|WP_063866263.1|	49.1	232	261	646	4.62e-67	218
k141_110230_1	SARG|gi|969848384|ref|WP_058609247.1|	48.7	232	261	646	6.46e-67	218
k141_110230_2	SARG|gi|1001720867|ref|WP_061274204.1|	31.0	429	429	648	5.58e-34	133
k141_110230_2	SARG|gb|AAV85982.1|ARO:3000535|macB	30.9	430	429	644	7.42e-34	132
k141_110230_2	SARG|gi|495736522|ref|WP_008461101.1|	30.8	429	429	648	1.39e-33	132
k141_110230_2	SARG|gi|746243059|ref|WP_039291473.1|	30.8	429	429	648	1.39e-33	132
k141_110230_2	SARG|gi|746253210|ref|WP_039301529.1|	30.8	429	429	648	1.39e-33	132
k141_110230_2	SARG|gi|736472622|ref|WP_034494292.1|	30.3	429	429	648	1.58e-32	129
k141_110230_2	SARG|gi|1035706844|ref|WP_064548272.1|	30.8	429	429	648	1.58e-32	129
k141_110230_2	SARG|gi|1035670474|ref|WP_064517458.1|	30.5	429	429	648	2.90e-32	128
k141_110230_2	SARG|gi|1035717981|ref|WP_064557480.1|	30.5	429	429	648	2.90e-32	128
k141_110230_2	SARG|gi|495067432|ref|WP_007792257.1|	30.2	434	429	647	9.71e-32	126
k141_110230_3	SARG|gb|AML99881.1|ARO:3001327|mdtK	27.6	413	419	474	1.46e-40	149
k141_125477_5	NCBI|WP_000163435.1|1|1|mupA|mupA|insensitivity|2|mupirocin|mupirocin|mupirocin-resistant_isoleucine--tRNA_ligase_MupA|AMR|mupirocin	22.2	856	848	1024	1.79e-23	105
k141_125477_5	megares|MEG_4089|Drugs|Mupirocin|Mupirocin-resistant_isoleucyl-tRNA_synthetase|MUPA_1	22.2	856	848	1024	1.79e-23	105
k141_125477_5	megares|MEG_4090|Drugs|Mupirocin|Mupirocin-resistant_isoleucyl-tRNA_synthetase|MUPA_1	23.0	747	848	1024	2.36e-23	105
k141_125477_5	SARG|gb|CAA53189|ARO:3000521|mupA	23.0	747	848	1024	2.36e-23	105
k141_167305_7	SARG|gi|556476567|ref|WP_023328168.1|	34.8	184	467	641	6.51e-21	94.7
